num,svn_id,real_name,project_name,role_on_project,organization
48,al0048,Alan Cabrera,Apache Aries,Contributor,LinkedIn
337,al0337,Alan Cabrera,Apache Geronimo,PMC,Chariot Solutions
381,al0381,Alan Cabrera,Apache Geronimo,Committer,Chariot Solutions
1027,al1027,Alan Cabrera,Apache Aries,Contributor,LinkedIn
2050,al2050,Alan Cabrera,Aries,NA,LinkedIn
658,gates,Alan Gates,Apache Pig,PMC member,HortonWorks
671,gates,Alan Gates,Apache Pig,Committer,HortonWorks
872,gates,Alan Gates,Apache HCatalog,Committer,Hortonworks
873,gates,Alan Gates,Apache HCatalog,PPMC,Hortonworks
886,gates,Alan Gates,Apache HCatalog,Mentor,Hortonworks
2112,gates,Alan Gates,Calcite,NA,Hortonworks
2422,gates,Alan Gates,Hive,NA,Hortonworks
2512,gates,Alan Gates,Knox,NA,Hortonworks
2568,gates,Alan Gates,Oozie,NA,Hortonworks
2611,gates,Alan Gates,Pig,NA,HortonWorks
1175,gates,Alan Gates,Apache Bigtop,committer,Yahoo! 
1189,gates,Alan Gates,Apache Bigtop,mentor,Yahoo! 
1547,gates,Alan Gates,Apache Hive,Committer,Hortonworks
1663,gates,Alan Gates,Apache PIG,PMC member,HortonWorks 
49,al0049,Alan Keane,Apache Aries,Contributor,Ericsson 
1028,al1028,Alan Keane,Apache Aries,Contributor,Ericsson
2051,al2051,Alan Keane,Aries,NA,Ericsson
50,al0050,Alasdair Nottingham,Apache Aries,PMC,IBM
1029,al1029,Alasdair Nottingham,Apache Aries,PMC,IBM
2052,al2052,Alasdair Nottingham,Aries,NA,IBM
626,al0626,Albert Lee,Apache OpenJPA,PMC,IBM Corporation
634,al0634,Albert Lee,Apache OpenJPA,Committer,IBM Corporation
1633,al1633,Albert Lee,Apache OpenJPA,Committer,IBM Corporation 
1652,al1652,Albert Lee,Apache OpenJPA,PMC,IBM Corporation 
2579,al2579,Albert Lee,OpenJPA,NA,IBM
469,tucu,Alejandro Abdelnur,Apache Hadoop,PMC,Cloudera
521,tucu,Alejandro Abdelnur,Apache Hadoop,Committer,Cloudera
2360,tucu,Alejandro Abdelnur,Hadoop,NA,Cloudera
2569,tucu,Alejandro Abdelnur,Oozie,NA,Cloudera
1167,tucu,Alejandro Abdelnur,Apache Bigtop,committer,Cloudera 
1455,tucu,Alejandro Abdelnur,Apache Hadoop,PMC,Cloudera 
1517,tucu,Alejandro Abdelnur,Apache Hadoop,Committer,Cloudera 
1968,alejandro,Alejandro Fernandez,Ambari,NA,Hortonworks
106,alek,Aleksander Slominski,Apache Axiom,Committer,Indiana University Extreme! Co
141,alek,Aleksander Slominski,Apache Axis,Committer,Indiana University Extreme! Co
1092,alek,Aleksander Slominski,Apache Axiom,Committer,Indiana University Extreme! Co
1128,alek,Aleksander Slominski,Apache Axis2,Committer,Indiana University Extreme! Co
1945,aslom,Aleksander Slominski,Airavata,NA,IBM
943,akovalenko,Aleksandr Kovalenko,Apache Ambari,PMC,Hortonworks
1971,akovalenko,Aleksandr Kovalenko,Ambari,NA,Hortonworks
2282,apresta,Alessandro Presta,Giraph,NA,Facebook
944,alexantonenko,Alex Antonenko,Apache Ambari,PMC,Hortonworks
1972,alexantonenko,Alex Antonenko,Ambari,NA,Hortonworks
1006,al1006,Alex Moundalexis,Apache Accumulo,Contributor,Cloudera
1887,al1887,Alex Moundalexis,Accumulo,NA,Cloudera
2724,posix4e,Alex Newman,Sqoop,NA,WANdisco
543,alexparvulescu,Alex Parvulescu,Apache Jackrabbit,Committer,Adobe
2459,alexparvulescu,Alex Parvulescu,Jackrabbit,NA,Adobe
1557,alexparvulescu,Alex Parvulescu,Apache Jackrabbit,Committer,Adobe
1877,shralex,Alex Shraer,Apache Zookeeper,Committer,Google
2786,shralex,Alex Shraer,Zookeeper,NA,Google
542,alexkli,Alexander Klimetschek,Apache Jackrabbit,Committer,Adobe
2458,alexkli,Alexander Klimetschek,Jackrabbit,NA,Adobe
1556,alexkli,Alexander Klimetschek,Apache Jackrabbit,Committer,Adobe
366,al0366,Alexy Petrenko,Apache Geronimo,Committer,IBM
1368,alfonsonishikawa,Alfonso Nishikawa,Apache Gora,Committer,Indra
1382,alfonsonishikawa,Alfonso Nishikawa,Apache Gora,PMC,Indra
2288,alfonsonishikawa,Alfonso Nishikawa,Gora,NA,Indra
1741,aheimoz,Alison Heimoz,Apache Sling,Technical Writer,Adobe 
478,aw,Allen Wittenauer,Apache Hadoop,Committer,LinkedIn
1465,aw,Allen Wittenauer,Apache Hadoop,Committer,LinkedIn 
475,amarrk,Amar Ramesh Kamat,Apache Hadoop,Committer,Yahoo!
1461,amarrk,Amar Ramesh Kamat,Apache Hadoop,Committer,Yahoo! 
441,amareshwari,Amareshwari Sriramadasu,Apache Hadoop,PMC,InMobi
474,amareshwari,Amareshwari Sriramadasu,Apache Hadoop,Committer,InMobi
535,amareshwari,Amareshwari Sriramadasu,Apache Hive,Committer,InMobi
2207,amareshwari,Amareshwari Sriramadasu,Falcon,NA,InMobi
2301,amareshwari,Amareshwari Sriramadasu,Hadoop,NA,InMobi
2430,amareshwari,Amareshwari Sriramadasu,Hive,NA,InMobi
1421,amareshwari,Amareshwari Sriramadasu,Apache Hadoop,PMC,InMobi 
1460,amareshwari,Amareshwari Sriramadasu,Apache Hadoop,Committer,InMobi 
1534,amareshwari,Amareshwari Sriramadasu,Apache Hive,Committer,InMobi
1946,amilaj,Amila Jayasekara,Airavata,NA,Indiana University
1742,amitgupt,Amit Gupta,Apache Sling,Java Developer,Adobe 
2460,amitj,Amit Jain,Jackrabbit,NA,Adobe
2376,acube123,Amitanand S. Aiyer,HBase,NA,Facebook
1396,acube123,Amitanand S. Aiyer,Apache HBase,Committer,Facebook 
1168,arcilla,Andre Arcilla,Apache Bigtop,committer,Yahoo! 
2122,acosentino,Andrea Cosentino,Camel,NA,Red Hat
2496,acosentino,Andrea Cosentino,Karaf,NA,RedHat
2660,acosentino,Andrea Cosentino,ServiceMix,NA,Red Hat
2760,andreapatricelli,Andrea Patricelli,Syncope,NA,Tirasa
1802,an1802,Andrea Patricelli,Apache Syncope,Contributor,Tirasa 
741,an0741,Andrea Zoppello,Apache ServiceMix,Contributor,Engineering Ingegneria Informa
2692,an2692,Andrea Zoppello,ServiceMix,NA,Engineering Ingegneria Informa
1728,an1728,Andrea Zoppello,Apache ServiceMix,Contributor,Engineering Ingegneria Informa
697,andreas,Andreas Oberhack,Apache ServiceMix,Committer,Softwarefabrik GmbH
2661,andreas,Andreas Oberhack,ServiceMix,NA,Softwarefabrik GmbH
1682,andreas,Andreas Oberhack,Apache ServiceMix,Committer,Softwarefabrik GmbH 
798,asavu,Andrei Savu,Apache Whirr,PMC,Cloudsoft
810,asavu,Andrei Savu,Apache Whirr,Committer,Cloudsoft
1844,asavu,Andrei Savu,Apache Whirr,committer,Cloudsoft
1858,asavu,Andrei Savu,Apache Whirr,PMC,Cloudsoft
1186,asavu,Andrei Savu,Apache Bigtop,committer,Facebook 
2757,ashakirin,Andrei Shakirin,Syncope,NA,Talend
1797,ashakirin,Andrei Shakirin,Apache Syncope,committer,Talend 
812,abayer,Andrew Bayer,Apache Whirr,Committer,Cloudera
1842,abayer,Andrew Bayer,Apache Whirr,committer,Cloudera
1856,abayer,Andrew Bayer,Apache Whirr,PMC,Cloudera
2222,abayer,Andrew Bayer,Flume,NA,Cloudera
2713,abayer,Andrew Bayer,Sqoop,NA,Cloudera
1169,abayer,Andrew Bayer,Apache Bigtop,committer,Cloudera 
2629,afchung90,Andrew Chung,REEF,NA,Microsoft
2024,an2024,Andrew Grande,Ambari,NA,Hortonworks
412,ahart,Andrew Hart,Apache Gora,Committer,NASA JPL
1367,ahart,Andrew Hart,Apache Gora,Committer,NASA JPL
1381,ahart,Andrew Hart,Apache Gora,PMC,NASA JPL
2287,ahart,Andrew Hart,Gora,NA,NASA JPL
694,gatfora,Andrew K Gatford,Apache Sandesha,Committer,IBM
1679,gatfora,Andrew K Gatford,Apache Sandesha,Committer,IBM
941,aonishuk,Andrew Onischuk,Apache Ambari,Committer,Hortonworks
1969,aonishuk,Andrew Onischuk,Ambari,NA,Hortonworks
51,an0051,Andrew Osborne,Apache Aries,PMC,IBM
1030,an1030,Andrew Osborne,Apache Aries,PMC,IBM
2053,an2053,Andrew Osborne,Aries,NA,IBM
422,apurtell,Andrew Purtell,Apache Hbase,Committer,Intel
799,apurtell,Andrew Purtell,Apache Whirr,PMC,Trend Micro
811,apurtell,Andrew Purtell,Apache Whirr,Committer,Trend Micro
1843,apurtell,Andrew Purtell,Apache Whirr,committer,Trend Micro
1857,apurtell,Andrew Purtell,Apache Whirr,PMC,Trend Micro
1181,apurtell,Andrew Purtell,Apache Bigtop,committer,Intel 
1397,apurtell,Andrew Purtell,Apache HBase,Committer,Intel 
2540,arobinson74,Andrew Robinson,MyFaces,NA,Oracle
2364,wang,Andrew Wang,Hadoop,NA,Cloudera
1519,wang,Andrew Wang,Apache Hadoop,Committer,Cloudera 
939,ababiichuk,Andrii Babiichuk,Apache Ambari,PMC,Hortonworks
1965,ababiichuk,Andrii Babiichuk,Ambari,NA,Hortonworks
942,atkach,Andrii Tkach,Apache Ambari,PMC,Hortonworks
1970,atkach,Andrii Tkach,Ambari,NA,Hortonworks
236,an0236,Andrus Adamchik,Apache Click,PMC Member,ObjectStyle
238,an0238,Andrus Adamchik,Apache Click,Committer,ObjectStyle
1238,an1238,Andrus Adamchik,Apache Click,PMC Member,ObjectStyle 
411,ab,Andrzej Bialecki,Apache Gora,Committer,Getopt
472,ab,Andrzej Bialecki,Apache Hadoop,Committer,Getopt
1366,ab,Andrzej Bialecki,Apache Gora,Committer,Getopt
1380,ab,Andrzej Bialecki,Apache Gora,PMC,Getopt
2286,ab,Andrzej Bialecki,Gora,NA,Getopt
2298,ab,Andrzej Bialecki,Hadoop,NA,Getopt
1458,ab,Andrzej Bialecki,Apache Hadoop,Committer,Getopt 
616,andys,Andy Schwartz,Apache MyFaces,committer,Oracle
832,andys,Andy Schwartz,Apache Tobago,committer,Oracle
1621,andys,Andy Schwartz,Apache MyFaces,committer,Oracle
2553,andys,Andy Schwartz,MyFaces,NA,Oracle
1808,andys,Andy Schwartz,Apache Tobago,committer,Oracle 
544,angela,Angela Schreiber,Apache Jackrabbit,Committer,Adobe
2461,angela,Angela Schreiber,Jackrabbit,NA,Adobe
1558,angela,Angela Schreiber,Apache Jackrabbit,Committer,Adobe
2570,angeloh,Angelo Huang,Oozie,NA,independent
2607,niket486,Aniket Mokashi,Pig,NA,Google
1659,aniket486,Aniket Mokashi,Apache PIG,Committer,Twitter 
2598,an2598,Ankit Singhal,Phoenix,NA,Hortonworks
137,u137,Ann Robinson,Apache Axis,Committer,IBM
1124,u1124,Ann Robinson,Apache Axis2,Committer,IBM
2639,an2639,Anne Yu,Sentry,NA,Cloudera
2599,an2599,Anoop Sam John,Phoenix,NA,Intel
2377,anoopsamjohn,Anoop Sam John,HBase,NA,Intel
1398,anoopsamjohn,Anoop Sam John,Apache HBase,Committer,Intel 
774,antelder,Ant Elder,Apache Synapse,Committer,IBM
1769,antelder,Ant Elder,Apache Synapse,Committer,IBM
2732,antelder,Ant Elder,Synapse,NA,IBM
990,antoine,Antoine Levy-Lambert,Apache ANT,PMC,Agilebuild
2123,astefanutti,Antonin Stefanutti,Camel,NA,Red Hat
2565,asanso,Antonio Sanso,Oltu,NA,Adobe
1743,asanso,Antonio Sanso,Apache Sling,Java Developer,Adobe 
2300,adhoot,Anubhav Dhoot,Hadoop,NA,Cloudera
2632,anupam,Anupam,REEF,NA,Microsoft
111,an0111,Anushka Kumara,Apache Axiom,Contributor,Lanka Software Foundation / Un
155,an0155,Anushka Kumara,Apache Axis,Contributor,Lanka Software Foundation / Un
1098,an1098,Anushka Kumara,Apache Axiom,Contributor,Lanka Software Foundation / Un
1142,an1142,Anushka Kumara,Apache Axis2,Contributor,Lanka Software Foundation / Un
2297,apgiannakidis,Apostolos Giannakidis,Gora,NA,Oracle
1973,avijayan,Aravindan Vijayan,Ambari,NA,Hortonworks
545,ard,Ard Schrijvers,Apache Jackrabbit,Committer,Hippo
2462,ard,Ard Schrijvers,Jackrabbit,NA,Hippo
1559,ard,Ard Schrijvers,Apache Jackrabbit,Committer,Hippo
2302,arp,Arpit Agarwal,Hadoop,NA,Hortonworks
1462,arp,Arpit Agarwal,Apache Hadoop,Committer,Hortonworks 
2025,arpit,Arpit Gupta,Ambari,NA,Hortonworks
476,arpit,Arpit Gupta,Apache Hadoop,Committer,Hortonworks
2303,arpit,Arpit Gupta,Hadoop,NA,Hortonworks
1463,arpit,Arpit Gupta,Apache Hadoop,Committer,Hortonworks 
940,abaranchuk,Artem Baranchuk,Apache Ambari,Committer,Hortonworks
1966,abaranchuk,Artem Baranchuk,Ambari,NA,Hortonworks
1904,artnaseef,Arthur Naseef,ActiveMQ,NA,Savoir Technologies
840,ryman,Arthur Ryman,Apache Woden,Committer,IBM
1869,ryman,Arthur Ryman,Apache Woden,Committer,IBM 
440,acmurthy,Arun C Murthy,Apache Hadoop,PMC,Hortonworks
473,acmurthy,Arun C Murthy,Apache Hadoop,Committer,Hortonworks
2299,acmurthy,Arun C Murthy,Hadoop,NA,Hortonworks
1420,acmurthy,Arun C Murthy,Apache Hadoop,PMC,Hortonworks 
1459,acmurthy,Arun C Murthy,Apache Hadoop,Committer,Hortonworks,acmurthy 
2640,ar2640,Arun Suresh,Sentry,NA,Microsoft
2304,asuresh,Arun Suresh,Hadoop,NA,Cloudera
786,asanka,Asanka Abeysinghe,Apache Synapse,Committer,WSO2
1781,asanka,Asanka Abeysinghe,Apache Synapse,Committer,WSO2
2744,asanka,Asanka Abeysinghe,Synapse,NA,WSO2
783,asankha,Asankha Perera,Apache Synapse,Committer,AdroitLogic
1778,asankha,Asankha Perera,Apache Synapse,Committer,AdroitLogic
2741,asankha,Asankha Perera,Synapse,NA,AdroitLogic
2235,as2235,Ashish Jain,Geronimo,NA,IBM
1323,as1323,Ashish Jain,Apache Geronimo,Committer,IBM 
2039,as2039,Ashish Singh,Ambari,NA,Hortonworks
524,athusoo,Ashish Thusoo,Apache Hive,Committer,Facebook
2408,athusoo,Ashish Thusoo,Hive,NA,Qubole
1522,athusoo,Ashish Thusoo,Apache Hive,PMC,Qubole 
537,hashutosh,Ashutosh Chauhan,Apache Hive,Committer,Hortonworks
660,hashutosh,Ashutosh Chauhan,Apache Pig,PMC member,HortonWorks
673,hashutosh,Ashutosh Chauhan,Apache Pig,Committer,HortonWorks
870,hashutosh,Ashutosh Chauhan,Apache HCatalog,Committer,Hortonworks
875,hashutosh,Ashutosh Chauhan,Apache HCatalog,PPMC,Hortonworks
2113,hashutosh,Ashutosh Chauhan,Calcite,NA,Hortonworks
2414,hashutosh,Ashutosh Chauhan,Hive,NA,Hortonworks
2613,hashutosh,Ashutosh Chauhan,Pig,NA,HortonWorks
1526,hashutosh,Ashutosh Chauhan,Apache Hive,PMC,HortonWorks 
1665,hashutosh,Ashutosh Chauhan,Apache PIG,PMC member,HortonWorks 
105,ashu,Ashutosh Shahi,Apache Axiom,Committer,Computer Associates
140,ashu,Ashutosh Shahi,Apache Axis,Committer,Computer Associates
1091,ashu,Ashutosh Shahi,Apache Axiom,Committer,Computer Associates
1127,ashu,Ashutosh Shahi,Apache Axis2,Committer,Computer Associates
2562,asitang,Asitang Mishra,Nutch,NA,NASA JPL
1947,ate,Ate Douma,Airavata,NA,Hippo
2276,aching,Avery Ching,Giraph,NA,Facebook
367,b.0367,B.J. Reed,Apache Geronimo,Committer,IBM
2237,b.2237,B.J. Reed,Geronimo,NA,IBM
1325,b.1325,B.J. Reed,Apache Geronimo,Committer,IBM 
1208,bvahdat,Babak Vahdat,Apache Camel,Committer,Cyberlogic Consulting GmbH
2124,bvahdat,Babak Vahdat,Camel,NA,Cyberlogic Consulting GmbH
2219,balu,Balu Vellanki,Falcon,NA,Hortonworks
562,schans,Bart van der Schans,Apache Jackrabbit,Committer,Hippo
2484,schans,Bart van der Schans,Jackrabbit,NA,Hippo
1577,schans,Bart van der Schans,Apache Jackrabbit,Committer,Hippo
1166,be1166,Bella Robinson,Apache Batik,Committer,CSIRO Australia
1209,boday,Ben O'Day,Apache Camel,Committer,Initek Consulting
2125,boday,Ben O'Day,Camel,NA,Initek Consulting
195,boday,Ben O'Day,Apache Camel,Committer,Savoir Technologies 
653,breed,Ben Reed,Apache Pig,PMC member,Yahoo!
668,breed23,Ben Reed,Apache Pig,Committer,Yahoo!
284,bspeakmon,Ben Speakmon,Apache Commons Email,Committer,Apache Software Foundation
1287,bspeakmon,Ben Speakmon,Apache Commons Email,Committer,The Apache Software Foundation
1875,breed,Benjamin Reed,Apache Zookeeper,PMC,Facebook
1876,breed,Benjamin Reed,Apache Zookeeper,Committer,Facebook
2096,breed,Benjamin Reed,Bookkeeper,NA,Facebook
2782,breed,Benjamin Reed,Zookeeper,NA,Facebook
52,be0052,Bernd Kolb,Apache Aries,PMC,SAP
1031,be1031,Bernd Kolb,Apache Aries,PMC,SAP
2054,be2054,Bernd Kolb,Aries,NA,SAP
2183,ber2183,Bernt M. Johnsen,Db,NA,Oracle
755,bdelacretaz,Bertrand Delacretaz,Apache Sling,Committer,Adobe
763,bdelacretaz,Bertrand Delacretaz,Apache Sling,PMC,Adobe
1744,bdelacretaz ,Bertrand Delacretaz,Apache Sling,Java Developer,Adobe 
1757,bdelacretaz ,Bertrand Delacretaz,Apache Sling,PMC,Adobe 
2626,sezgin,Beysim Sezgin,REEF,NA,Microsoft
479,bikas,Bikas Saha,Apache Hadoop,Committer,Hortonworks
2306,bikas,Bikas Saha,Hadoop,NA,Hortonworks
1466,bikas,Bikas Saha,Apache Hadoop,Committer,Hortonworks 
1210,bibryam,Bilgin Ibryam,Apache Camel,Committer,Red Hat
2126,bibryam,Bilgin Ibryam,Camel,NA,Red Hat
410,bi0410,Bill Barker,Apache Gump,PMC,IBM
320,billbarker,Bill Barker,Apache Commons Modeler,Committer,Apache
652,billgraham,Bill Graham,Apache Pig,Committer,Twitter
2172,billgraham,Bill Graham,Chukwa,NA,Twitter
2608,billgraham,Bill Graham,Pig,NA,Twitter
1660,billgraham,Bill Graham,Apache PIG,PMC member,Twitter 
1162,bi1162,Bill Haneman,Apache Batik,Committer,Sun Microsystems
1879,bhavanki,Bill Havanki,Accumulo,NA,Cloudera
1007,bi1007,Bill Havanki,Apache Accumulo,Contributor,Cloudera
129,u129,Bill Nagy,Apache Axis,Committer,IBM
1116,u1116,Bill Nagy,Apache Axis2,Committer,IBM
2,billie,Billie Rinaldi,Apache Accumulo,PMC,Hortonworks
4,billie,Billie Rinaldi,Apache Accumulo,Committer,Hortonworks
945,billie,Billie Rinaldi,Apache Ambari,PMC,Hortonworks
996,billie,Billie Rinaldi,Apache Accumulo,PMC,Hortonworks
1001,billie,Billie Rinaldi,Apache Accumulo,Committer,Hortonworks
1880,billie,Billie Rinaldi,Accumulo,NA,Hortonworks
1974,billie,Billie Rinaldi,Ambari,NA,Hortonworks
2552,bsullivan,Blake Sullivan,MyFaces,NA,Oracle
911,bo0911,Bob Lannoy,Apache Syncope,Contributor,Smals
2763,bo2763,Bob Lannoy,Syncope,NA,Smals
1800,bo1800,Bob Lannoy,Apache Syncope,Contributor,Smals 
251,bob,Bob McWhirter,Apache Commons CLI,Committer,Werken
1249,bob,Bob McWhirter,Apache Commons CLI,Committer,Werken
1304,werken,Bob McWhirter,Apache Commons Jelly,Committer,The Werken Company
2002,rnettleton,Bob Nettleton,Ambari,NA,Hortonworks
682,bo0682,Bob Scheifler,Apache River,Emeritus Committer,Sun Microsystems
481,boryas,Boris Shkolnik,Apache Hadoop,Committer,LinkedIn
2307,boryas,Boris Shkolnik,Hadoop,NA,LinkedIn
1468,boryas,Boris Shkolnik,Apache Hadoop,Committer,LinkedIn 
2627,shulmanb,Boris Shulman,REEF,NA,Microsoft
2571,bzhang,Bowen Zhang,Oozie,NA,Hortonworks
2021,br2021,Bradley Childs,Ambari,NA,Red Hat
2308,brandonli,Brandon Li,Hadoop,NA,Hortonworks
1469,brandonli,Brandon Li,Apache Hadoop,Committer,Hortonworks 
2456,br2456,Branko ?ibej,Ignite,NA,WANdisco
242,brett,Brett Porter,Apache Continuum,PMC Chair,ASF
593,brett,Brett Porter,Apache Maven,PMC Member,ASF
1018,brett,Brett Porter,Apache Archiva,PMC Member,ASF
118,pradine,Brian DePradine,Apache Axis,Committer,IBM
1105,pradine,Brian DePradine,Apache Axis2,Committer,IBM
261,bdunbar,Brian E. Dunbar,Apache Commons Configuration,Committer,dunbarconsulting.org
1259,bdunbar,Brian E. Dunbar,Apache Commons Configuration,Java Developer,dunbarconsulting.org 
1267,bdunbar,Brian E. Dunbar,Apache Commons Configuration,Committer,dunbarconsulting.org 
8,brianm,Brian McCallister,ActiveMQ,Committer,Ning
913,brianm,Brian McCallister,Apache ActiveMQ,Committer,Ning
1905,brianm,Brian McCallister,ActiveMQ,NA,Ning
568,bcm,Brian Moseley,Apache Jackrabbit,Emeritus Member,Open Source Applications Found
1584,bcm,Brian Moseley,Apache Jackrabbit,Emeritus Committer,Open Source Applications Found
2223,brock,Brock Noland,Flume,NA,Cloudera
1523,brock,Brock Noland,Apache Hive,PMC,Cloudera 
988,br0988,Bruce Atherton,Apache ANT,PMC,Avue Technologies
2236,br2236,Bruce Snyder,Geronimo,NA,SpringSource
698,bsnyder,Bruce Snyder,Apache ServiceMix,Committer,SpringSource
726,bsnyder,Bruce Snyder,Apache ServiceMix,PMC,SpringSource
914,bsnyder,Bruce Snyder,Apache ActiveMQ,Committer,SpringSource
1211,bsnyder,Bruce Snyder,Apache Camel,Committer,SpringSource
1906,bsnyder,Bruce Snyder,ActiveMQ,NA,SpringSource
2127,bsnyder,Bruce Snyder,Camel,NA,SpringSource
2662,bsnyder,Bruce Snyder,ServiceMix,NA,SpringSource
1324,br1324,Bruce Snyder,Apache Geronimo,Committer,SpringSource 
9,bsnyder,Bruce Snyder,ActiveMQ,Committer,SpringSource
196,bsnyder,Bruce Snyder,Apache Camel,Committer,SpringSource 
1683,bsnyder,Bruce Snyder,Apache ServiceMix,Committer,SpringSource 
1714,bsnyder,Bruce Snyder,Apache ServiceMix,PMC,SpringSource 
322,brudav,Bruno D'Avanzo,Apache Commons Net,Committer,Hewlett-Packard
1312,brudav,Bruno D'Avanzo,Apache Commons Net,Committer,Hewlett-Packard
1174,bmahe,Bruno Mao,Apache Bigtop,committer,Tango 
2764,br2764,Bruno  Moura,Syncope,NA,Exprivia
1801,br1801,Bruno  Moura,Apache Syncope,Contributor,Exprivia 
2464,cdamioli,Cedric Damioli,Jackrabbit,NA,Ametys
1560,cdamioli,Cedric Damioli,Apache Jackrabbit,Committer,Ametys
2048,ca2048,Cabir Zounaidou,Ambari,NA,Hortonworks
1160,ca1160,Cameron McCormack,Apache Batik,Committer,Monash University
762,thecarlhall,Carl Hall,Apache Sling,Committer,Hallway Technologies
1756,thecarlhall,Carl Hall,Apache Sling,Java Developer,Hallway Technologies 
536,cws,Carl Steinbach,Apache Hive,Committer,Cloudera
2409,cws,Carl Steinbach,Hive,NA,LinkedIn
1524,cws,Carl Steinbach,Apache Hive,VP,Citus Data 
243,carlos,Carlos Sanchez,Apache Continuum,PMC Member,ASF
594,carlos,Carlos Sanchez,Apache Maven,PMC Member,ASF
1019,carlos,Carlos Sanchez,Apache Archiva,PMC Member,ASF
2100,carlosvara,Carlos Vara,BVal,NA,Amazon
1147,carlosvara,Carlos Vara,Apache BVal,PMC,Amazon 
170,carlosvara,Carlos Vara,Apache Bean Validation,PMC,Amazon 
181,carlosvara,Carlos Vara,Apache Bean Validation,Committer,Amazon 
757,cziegeler,Carsten Ziegeler,Apache Sling,Committer,Adobe
764,cziegeler,Carsten Ziegeler,Apache Sling,PMC,Adobe
1746,cziegeler ,Carsten Ziegeler,Apache Sling,Chair, Java Develope,Adobe 
1758,cziegeler ,Carsten Ziegeler,Apache Sling,PMC Chair,Adobe 
635,ca0635,Catalina Wei,Apache OpenJPA,Committer,IBM Corporation
2580,ca2580,Catalina Wei,OpenJPA,NA,IBM
1634,ca1634,Catalina Wei,Apache OpenJPA,Committer,IBM Corporation 
1872,ce1872,Cezar Andrei,Apache XMLBeans,Committer,LinkedIn
946,croberts,Chad Roberts,Apache Ambari,PMC,Red Hat
1975,croberts,Chad Roberts,Ambari,NA,Red Hat
